MonthlyCharges,PhoneService_Yes,MultipleLines_No phone service,InternetService_Fiber optic,InternetService_No,StreamingMovies_Yes,StreamingTV_Yes,TotalCharges,tenure,MultipleLines_Yes,DeviceProtection_Yes,OnlineBackup_Yes,TechSupport_Yes,OnlineSecurity_Yes,Contract_Two year,PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_One year,PaymentMethod_Credit card (automatic),Partner_Yes,Dependents_Yes,PaperlessBilling_Yes,SeniorCitizen_Yes,gender_Male,Churn
-0.5230752269847102,0.0,1.0,0.0,0.0,1.0,1.0,-0.2636954875185429,0.10054462934196824,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.3363955276460678,1.0,0.0,1.0,0.0,0.0,0.0,-0.5050763977026289,-0.7140051361961023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0
-0.810118548511978,0.0,1.0,0.0,0.0,0.0,0.0,-0.7513279279613255,-0.7954601127499094,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0
0.2833008092132786,1.0,0.0,0.0,0.0,1.0,1.0,-0.17415944911995587,-0.2660027651501635,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
-0.6773817524300045,1.0,0.0,0.0,0.0,0.0,0.0,-0.9908220213597513,-1.2841899720727517,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0
0.4824060033362388,1.0,0.0,0.0,0.0,1.0,1.0,1.2696503070511336,1.3630967659259776,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0
-1.4986906781872154,1.0,0.0,0.0,1.0,0.0,0.0,-1.0016821877423292,-1.2841899720727517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
-0.2775121542330593,1.0,0.0,0.0,0.0,0.0,0.0,0.03356591514317124,0.3041820707264859,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
-0.17132271736748064,1.0,0.0,0.0,0.0,0.0,1.0,0.6606472798842676,1.322369277649074,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
0.5172494123077568,1.0,0.0,0.0,0.0,1.0,1.0,1.1164890514616859,1.1187318362645564,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
